Structure_ID,Building_Name,latitude,longitude,Street_Name,Street__Number,City,Closest__Station_ID,Distance_To__Closest__Station_km_For_Maule_Chile_2010,Distance_To__Closest__Station_km_For_Valparaiso_Chile_1985,General___Drawings,Main__Building__Photo,Example_of__Severe_Damage,Closest__Station_Name,Max__Hor__PGA__g__For_Maule_Chile_2010,Max__Hor__PGA__g__For_Valparaiso_Chile_1985,Max__Hor__PGV__m_s__For_Maule_Chile_2010,Max__Hor__PGV__m_s__For_Valparaiso_Chile_1985
21,MEDITERRANEO,-33.01993,-71.549194,4 NORTE - 1 ORIENTE,,Viña del Mar,8,0.615603501534832,3.47060717009491,/data/tools/geoexplorer/Chile-NIST/general_drawings/21/9/typical_plan_architectural.pdf,/data/tools/geoexplorer/Chile-NIST/photos/Maule.Chile.2010/21/4/andres_lepage_DSCN0506.jpg,,CENTRO,0.334,0.363,0.33,
23,PONTECASINO,-33.021684,-71.560484,MARINA,110,Viña del Mar,8,0.988335279125874,2.44734352196399,,/data/tools/geoexplorer/Chile-NIST/photos/Maule.Chile.2010/23/4/andres_lepage_DSCN0119.jpg,,CENTRO,0.334,0.363,0.33,
24,SOLIMAR,-33.020006,-71.559545,SAN MARTIN,120,Viña del Mar,8,1.00561607523998,2.62090113628648,/data/tools/geoexplorer/Chile-NIST/general_drawings/24/9/typical_plan.pdf,/data/tools/geoexplorer/Chile-NIST/photos/Maule.Chile.2010/24/4/andres_lepage_DSCN0415.jpg,,CENTRO,0.334,0.363,0.33,
26,MAYA,-33.017018,-71.55723,SAN MARTIN,458,Viña del Mar,8,1.09885269403638,2.98835483619908,/data/tools/geoexplorer/Chile-NIST/general_drawings/26/9/first_story.pdf\n/data/tools/geoexplorer/Chile-NIST/general_drawings/26/9/second_story.pdf,/data/tools/geoexplorer/Chile-NIST/photos/Maule.Chile.2010/26/4/andres_lepage_DSCN0598.jpg,,CENTRO,0.334,0.363,0.33,
27,TOSSA DEL MAR,-33.0169,-71.558917,AV. PERU,444,Viña del Mar,8,1.20213871934226,2.87159996677542,/data/tools/geoexplorer/Chile-NIST/general_drawings/27/9/typical_plan_architectural.pdf,/data/tools/geoexplorer/Chile-NIST/photos/Maule.Chile.2010/27/4/andres_lepage_DSCN0511.jpg,,CENTRO,0.334,0.363,0.33,
28,CENTRO MAR,-33.015305,-71.556102,SAN MARTIN,605,Viña del Mar,8,1.21637011011742,3.18748168406999,,/data/tools/geoexplorer/Chile-NIST/photos/Maule.Chile.2010/28/4/andres_lepage_DSCN0571.jpg,,CENTRO,0.334,0.363,0.33,
29,MIRADOR,-33.020388,-71.562407,MARINA,72,Viña del Mar,8,1.21216836538385,2.37749360403824,,/data/tools/geoexplorer/Chile-NIST/photos/Maule.Chile.2010/29/4/andres_lepage_DSCN0010.jpg,,CENTRO,0.334,0.363,0.33,
38,ISAMAR,-33.018931,-71.558806,SAN MARTIN,236,Viña del Mar,8,1.02892671978436,2.74498535393592,/data/tools/geoexplorer/Chile-NIST/general_drawings/38/9/fourth_story_plan.pdf,/data/tools/geoexplorer/Chile-NIST/photos/Maule.Chile.2010/38/4/andres_lepage_DSCN0390.jpg,,CENTRO,0.334,0.363,0.33,
40,ANTUMALAL,-33.014908,-71.556543,AV. PERU,680,Viña del Mar,8,1.27356602521957,3.18295703519313,/data/tools/geoexplorer/Chile-NIST/general_drawings/40/9/typical_plan_architectural.pdf,/data/tools/geoexplorer/Chile-NIST/photos/Maule.Chile.2010/40/4/andres_lepage_DSCN0565.jpg,,CENTRO,0.334,0.363,0.33,
42,VILLA REAL,-33.017973,-71.555343,4 PONIENTE,390,Viña del Mar,8,0.918247410258866,3.07250927091743,/data/tools/geoexplorer/Chile-NIST/general_drawings/42/10/1st_and_2nd_story_plans_532.pdf\n/data/tools/geoexplorer/Chile-NIST/general_drawings/42/9/second_to_sixth_story_plan_architectural.pdf,/data/tools/geoexplorer/Chile-NIST/photos/Maule.Chile.2010/42/4/andres_lepage_DSCN0220.jpg,/data/tools/geoexplorer/Chile-NIST/photos/Maule.Chile.2010/42/4/andres_lepage_DSCN0143.jpg,CENTRO,0.334,0.363,0.33,
48,LAS PALMAS,-33.020697,-71.562088,MARINA,80,Viña del Mar,8,1.17026162801861,2.38166914900134,/data/tools/geoexplorer/Chile-NIST/general_drawings/48/9/typical_plan.pdf,/data/tools/geoexplorer/Chile-NIST/photos/Maule.Chile.2010/48/4/andres_lepage_DSCN0013.jpg,,CENTRO,0.334,0.363,0.33,
49,COPACABANA,-33.021058,-71.561709,MARINA,84,Viña del Mar,8,1.12111742230058,2.38812306494349,/data/tools/geoexplorer/Chile-NIST/general_drawings/49/9/second_story_plan.pdf,/data/tools/geoexplorer/Chile-NIST/photos/Maule.Chile.2010/49/4/andres_lepage_DSCN0020.jpg,,CENTRO,0.334,0.363,0.33,
